,AppName,compute_version,gpu_id,gpu_name,max_clock_rate,num_of_cores,L2,bus,memory_clock,bandwith,GM,num_sm,num_cores_sm,theoretical_flops,AppId,duration,grid_x,grid_y,block_x,block_y
42,matMul_gpu_uncoalesced,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,1,2.9666590000,176,176,16,16
43,matMul_gpu_uncoalesced,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,1,4.4627930000,192,192,16,16
44,matMul_gpu_uncoalesced,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,1,4.8843890000,208,208,16,16
45,matMul_gpu_uncoalesced,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,1,7.2305670000,224,224,16,16
46,matMul_gpu_uncoalesced,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,1,8.7060240000,240,240,16,16
47,matMul_gpu_uncoalesced,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,1,10.9343380000,256,256,16,16
48,matMul_gpu_uncoalesced,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,1,11.1528650000,272,272,16,16
49,matMul_gpu_uncoalesced,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,1,15.2105190000,288,288,16,16
50,matMul_gpu_uncoalesced,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,1,15.3086120000,304,304,16,16
51,matMul_gpu_uncoalesced,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,1,21.6930890000,320,320,16,16
52,matMul_gpu_uncoalesced,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,1,23.9978760000,336,336,16,16
53,matMul_gpu_uncoalesced,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,1,29.1270120000,352,352,16,16
54,matMul_gpu_uncoalesced,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,1,31.5019140000,368,368,16,16
55,matMul_gpu_uncoalesced,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,1,37.8732180000,384,384,16,16
56,matMul_gpu_uncoalesced,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,1,41.0406610000,400,400,16,16
57,matMul_gpu_uncoalesced,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,1,48.7067860000,416,416,16,16
58,matMul_gpu_uncoalesced,3,1,GTX-680,1058,1536,0.5,256,3004,192256,2,8,192,3250176,1,53.3544780000,432,432,16,16
