,compute_version,registers,smem,cmem,num_of_cores,L2,bandwith,theoretical_flops,AppId,number_of_lines_kernel,occupancy,input_size,duration,block_x,Actual,Predicted
6251,5.2,27,2048,348,2048,2.0,224.32,4980.736,4,15,100,2560,0.058081,16,-1.8446477190916566,-1.8452959579220425
6201,5.2,27,2048,348,3072,3.0,336.48,6610.944,4,15,100,6144,0.548509,16,-0.43307939714152316,-0.44184641035881017
6202,5.2,27,2048,348,3072,3.0,336.48,6610.944,4,15,100,6400,0.631046,16,-0.3132788937156304,-0.3109151124117666
6203,5.2,27,2048,348,3072,3.0,336.48,6610.944,4,15,100,6656,0.699128,16,-0.22423414579623935,-0.22364432620027463
6204,5.2,27,2048,348,3072,3.0,336.48,6610.944,4,15,100,6912,0.793544,16,-0.1125597010511987,-0.11309793861863293
6205,5.2,27,2048,348,3072,3.0,336.48,6610.944,4,15,100,7168,0.890112,16,-0.009937210939234538,-0.0083418308685566
6206,5.2,27,2048,348,3072,3.0,336.48,6610.944,4,15,100,7424,0.992329,16,0.08831211399767205,0.08713146316596786
6207,5.2,27,2048,348,3072,3.0,336.48,6610.944,4,15,100,7680,1.091355,16,0.17509131480917509,0.17689009381633686
6208,5.2,27,2048,348,3072,3.0,336.48,6610.944,4,15,100,7936,1.21543,16,0.2741636083758419,0.27912487115346873
6209,5.2,27,2048,348,3072,3.0,336.48,6610.944,4,15,100,8192,1.301501,16,0.3375438051436787,0.34008094673349204
6211,5.2,27,2048,348,1664,1.75,224.32,3580.928,4,15,100,512,0.000531256,16,-2.2972865948599046,-2.2972742475386214
6212,5.2,27,2048,348,1664,1.75,224.32,3580.928,4,15,100,768,0.001793379,16,-2.284810216273592,-2.2847969787211735
6213,5.2,27,2048,348,1664,1.75,224.32,3580.928,4,15,100,1024,0.004231708,16,-2.2611388965283656,-2.2611336723629325
6214,5.2,27,2048,348,1664,1.75,224.32,3580.928,4,15,100,1280,0.008281689,16,-2.223019215909224,-2.2231029697581577
6215,5.2,27,2048,348,1664,1.75,224.32,3580.928,4,15,100,1536,0.014275,16,-2.169147454764329,-2.1691499082523036
6216,5.2,27,2048,348,1664,1.75,224.32,3580.928,4,15,100,1792,0.022686,16,-2.098127033204609,-2.0981688731466197
6217,5.2,27,2048,348,1664,1.75,224.32,3580.928,4,15,100,2048,0.033627,16,-2.0127029424898155,-2.012696918572698
6218,5.2,27,2048,348,1664,1.75,224.32,3580.928,4,15,100,2304,0.048175,16,-1.909361271308235,-1.9092339153016584
6219,5.2,27,2048,348,1664,1.75,224.32,3580.928,4,15,100,2560,0.06599,16,-1.795827733404009,-1.795332684372803
6210,5.2,27,2048,348,1664,1.75,224.32,3580.928,4,15,100,256,7.2095e-05,16,-2.3018644027536554,-2.301865393159413
6200,5.2,27,2048,348,3072,3.0,336.48,6610.944,4,15,100,5888,0.496477,16,-0.516714596444051,-0.5173963959906307
6198,5.2,27,2048,348,3072,3.0,336.48,6610.944,4,15,100,5376,0.382343,16,-0.7290997997544902,-0.7257884489090215
6197,5.2,27,2048,348,3072,3.0,336.48,6610.944,4,15,100,5120,0.324617,16,-0.8565676928319431,-0.8650777360438212
6179,5.2,27,2048,348,3072,3.0,336.48,6610.944,4,15,100,512,0.000348964,16,-2.299101527659549,-2.2990999208419107
6180,5.2,27,2048,348,3072,3.0,336.48,6610.944,4,15,100,768,0.001146093,16,-2.2911893419176406,-2.2911981002461803
6181,5.2,27,2048,348,3072,3.0,336.48,6610.944,4,15,100,1024,0.002721438,16,-2.27573443991729,-2.2757195645970585
6182,5.2,27,2048,348,3072,3.0,336.48,6610.944,4,15,100,1280,0.005353533,16,-2.250433603461315,-2.2504306147280926
6183,5.2,27,2048,348,3072,3.0,336.48,6610.944,4,15,100,1536,0.009250027,16,-2.21411619786688,-2.2141033551800047
6184,5.2,27,2048,348,3072,3.0,336.48,6610.944,4,15,100,1792,0.014698,16,-2.165452691790465,-2.1655069393896236
6185,5.2,27,2048,348,3072,3.0,336.48,6610.944,4,15,100,2048,0.021688,16,-2.1062948869726954,-2.106453240559547
6186,5.2,27,2048,348,3072,3.0,336.48,6610.944,4,15,100,2304,0.031246,16,-2.0306818541652887,-2.0307468318033606
6199,5.2,27,2048,348,3072,3.0,336.48,6610.944,4,15,100,5632,0.429588,16,-0.6356559332263205,-0.6310033033544593
6187,5.2,27,2048,348,3072,3.0,336.48,6610.944,4,15,100,2560,0.042814,16,-1.9462121946664965,-1.9463575026663604
6189,5.2,27,2048,348,3072,3.0,336.48,6610.944,4,15,100,3072,0.07408,16,-1.7482403153145591,-1.7492575619143347
6190,5.2,27,2048,348,3072,3.0,336.48,6610.944,4,15,100,3328,0.09373,16,-1.6412898418832824,-1.6414274336653059
6191,5.2,27,2048,348,3072,3.0,336.48,6610.944,4,15,100,3584,0.118017,16,-1.5231822375820827,-1.5239911828596322
6192,5.2,27,2048,348,3072,3.0,336.48,6610.944,4,15,100,3840,0.143856,16,-1.4111773918386432,-1.40980265499843
6193,5.2,27,2048,348,3072,3.0,336.48,6610.944,4,15,100,4096,0.160987,16,-1.3432846813290436,-1.3453799026283753
6194,5.2,27,2048,348,3072,3.0,336.48,6610.944,4,15,100,4352,0.208266,16,-1.17679223236423,-1.1716074674613082
6195,5.2,27,2048,348,3072,3.0,336.48,6610.944,4,15,100,4608,0.239349,16,-1.0807262026467896,-1.0853471492082998
6196,5.2,27,2048,348,3072,3.0,336.48,6610.944,4,15,100,4864,0.28799,16,-0.9467757128868742,-0.947287978466171
6188,5.2,27,2048,348,3072,3.0,336.48,6610.944,4,15,100,2816,0.0572,16,-1.8502363989870307,-1.8508516615355128
6221,5.2,27,2048,348,1664,1.75,224.32,3580.928,4,15,100,3072,0.113886,16,-1.5423121161811917,-1.542015824355502
6222,5.2,27,2048,348,1664,1.75,224.32,3580.928,4,15,100,3328,0.145067,16,-1.4062236364355922,-1.4052382283338218
6223,5.2,27,2048,348,1664,1.75,224.32,3580.928,4,15,100,3584,0.173402,16,-1.2968120394300904,-1.2988228279562548
6270,5.2,27,2048,348,2048,2.0,224.32,4980.736,4,15,100,7424,1.32248,16,0.3524018271655555,0.3501970400677575
6269,5.2,27,2048,348,2048,2.0,224.32,4980.736,4,15,100,7168,1.185932,16,0.2514837472789688,0.2539326209568559
6268,5.2,27,2048,348,2048,2.0,224.32,4980.736,4,15,100,6912,1.064726,16,0.1524858662223745,0.1508089191909542
6267,5.2,27,2048,348,2048,2.0,224.32,4980.736,4,15,100,6656,0.951153,16,0.049887656941953996,0.05060921525106704
6266,5.2,27,2048,348,2048,2.0,224.32,4980.736,4,15,100,6400,0.846519,16,-0.05496423457755617,-0.05517055380402968
6265,5.2,27,2048,348,2048,2.0,224.32,4980.736,4,15,100,6144,0.743323,16,-0.17040523896817597,-0.17117629760089365
6264,5.2,27,2048,348,2048,2.0,224.32,4980.736,4,15,100,5888,0.655999,16,-0.27971522555480166,-0.27731235673173255
6263,5.2,27,2048,348,2048,2.0,224.32,4980.736,4,15,100,5632,0.569381,16,-0.40140187423486234,-0.40100529294815784
6262,5.2,27,2048,348,2048,2.0,224.32,4980.736,4,15,100,5376,0.496213,16,-0.5171572932123842,-0.5174562233331453
6247,5.2,27,2048,348,2048,2.0,224.32,4980.736,4,15,100,1536,0.012607,16,-2.1838513982461327,-2.1838622406961274
6261,5.2,27,2048,348,2048,2.0,224.32,4980.736,4,15,100,5120,0.426669,16,-0.6411830112593014,-0.6467783832413327
6248,5.2,27,2048,348,2048,2.0,224.32,4980.736,4,15,100,1792,0.020026,16,-2.1200468930022565,-2.119954714359794
6258,5.2,27,2048,348,2048,2.0,224.32,4980.736,4,15,100,4352,0.25947,16,-1.0231245545381655,-1.0265376508790287
6257,5.2,27,2048,348,2048,2.0,224.32,4980.736,4,15,100,4096,0.214898,16,-1.1555065021179376,-1.1543806370336047
6256,5.2,27,2048,348,2048,2.0,224.32,4980.736,4,15,100,3840,0.178692,16,-1.277648049606617,-1.2797808535407007
6255,5.2,27,2048,348,2048,2.0,224.32,4980.736,4,15,100,3584,0.144447,16,-1.408756762481143,-1.4082286039489025
6254,5.2,27,2048,348,2048,2.0,224.32,4980.736,4,15,100,3328,0.115908,16,-1.5329028879561095,-1.5325547000064936
6249,5.2,27,2048,348,2048,2.0,224.32,4980.736,4,15,100,2048,0.029641,16,-2.04298618706992,-2.0432781178705426
6253,5.2,27,2048,348,2048,2.0,224.32,4980.736,4,15,100,3072,0.090709,16,-1.6570065729429833,-1.6570654806650518
6252,5.2,27,2048,348,2048,2.0,224.32,4980.736,4,15,100,2816,0.07162,16,-1.7624725486031623,-1.7635848037389135
6260,5.2,27,2048,348,2048,2.0,224.32,4980.736,4,15,100,4864,0.364953,16,-0.765818953772047,-0.766135143601324
