,compute_version,registers,smem,cmem,num_of_cores,L2,bandwith,theoretical_flops,AppId,number_of_lines_kernel,occupancy,input_size,duration,block_x,Actual,Predicted
6862,5.2,8,0,348,1664,1.75,224.32,3580.928,6,5,100,3328,0.000878899,16,-2.2938345013422072,-2.2938287379644695
6861,5.2,8,0,348,1664,1.75,224.32,3580.928,6,5,100,3072,0.000745268,16,-2.2951600470002993,-2.295158598337805
6875,5.2,8,0,348,1664,1.75,224.32,3580.928,6,5,100,6656,0.003524039,16,-2.267951432375528,-2.2679560791648075
6860,5.2,8,0,348,1664,1.75,224.32,3580.928,6,5,100,2816,0.000628055,16,-2.2963241834558255,-2.29628514994626
6858,5.2,8,0,348,1664,1.75,224.32,3580.928,6,5,100,2304,0.000421561,16,-2.2983783437841865,-2.2983676433920297
6857,5.2,8,0,348,1664,1.75,224.32,3580.928,6,5,100,2048,0.000331547,16,-2.299275107046575,-2.2992780890017754
6856,5.2,8,0,348,1664,1.75,224.32,3580.928,6,5,100,1792,0.000253852,16,-2.3000497895934897,-2.300067011932634
6855,5.2,8,0,348,1664,1.75,224.32,3580.928,6,5,100,1536,0.000186973,16,-2.3007171087634424,-2.3007069456145635
6854,5.2,8,0,348,1664,1.75,224.32,3580.928,6,5,100,1280,0.000130367,16,-2.3012822720339483,-2.301285240533668
6853,5.2,8,0,348,1664,1.75,224.32,3580.928,6,5,100,1024,8.4063e-05,16,-2.301744816125556,-2.3017517699376877
6852,5.2,8,0,348,1664,1.75,224.32,3580.928,6,5,100,768,4.8288e-05,16,-2.302102329543075,-2.3020984134478804
6851,5.2,8,0,348,1664,1.75,224.32,3580.928,6,5,100,512,1.7152e-05,16,-2.302413587701919,-2.302414541258257
6850,5.2,8,0,348,1664,1.75,224.32,3580.928,6,5,100,256,4.608e-06,16,-2.302539014055696,-2.302528186026844
6849,5.2,8,0,348,3072,3.0,336.48,6610.944,6,5,100,8192,0.003015867,16,-2.27287225407307,-2.2728179767064915
6848,5.2,8,0,348,3072,3.0,336.48,6610.944,6,5,100,7936,0.002849722,16,-2.2744863658523076,-2.2745223596671633
6847,5.2,8,0,348,3072,3.0,336.48,6610.944,6,5,100,7680,0.002663896,16,-2.276294772053815,-2.2762838743393767
6846,5.2,8,0,348,3072,3.0,336.48,6610.944,6,5,100,7424,0.002486807,16,-2.2780212008829217,-2.2780219956069785
6859,5.2,8,0,348,1664,1.75,224.32,3580.928,6,5,100,2560,0.000518104,16,-2.29741742840266,-2.2974161104282977
7009,5.2,8,0,348,2048,2.0,224.32,4980.736,6,5,100,8192,0.004708695,32,-2.2565731177534585,-2.2565638575713534
6941,5.2,8,0,348,3072,3.0,336.48,6610.944,6,5,100,7168,0.002319542,32,-2.2796545978748126,-2.279634364099433
3216,3.5,8,0,348,2496,1.0,208.0,3524.352,6,5,100,6912,0.004621641,32,-2.257404855825274,-2.25727247703181
3043,3.5,8,0,348,2880,1.5,288.384,4291.2,6,5,100,3584,0.000937853,16,-2.2932502683576543,-2.2932558103706815
3044,3.5,8,0,348,2880,1.5,288.384,4291.2,6,5,100,3840,0.001046173,16,-2.2921777081901076,-2.2921575798767533
3045,3.5,8,0,348,2880,1.5,288.384,4291.2,6,5,100,4096,0.001122523,16,-2.291422398341052,-2.2914321207304624
3046,3.5,8,0,348,2880,1.5,288.384,4291.2,6,5,100,4352,0.001350651,16,-2.2891689828191133,-2.289164131549341
