,AppName,compute_version,gpu_id,gpu_name,max_clock_rate,num_of_cores,L2,bus,memory_clock,bandwith,GM,num_sm,num_cores_sm,theoretical_flops,AppId,duration,grid_x,grid_y,block_x,block_y,registers,smem,cmem,number_of_lines_kernel,occupancy
35,matMul_gpu_uncoalesced,3.0,1,GTX-680,1058,1536,0.5,256,3004,192256.0,2,8,192,3250176.0,1,0.142552,64,64,16,16,32,0,348,6,100
36,matMul_gpu_uncoalesced,3.0,1,GTX-680,1058,1536,0.5,256,3004,192256.0,2,8,192,3250176.0,1,0.277664,80,80,16,16,32,0,348,6,100
37,matMul_gpu_uncoalesced,3.0,1,GTX-680,1058,1536,0.5,256,3004,192256.0,2,8,192,3250176.0,1,0.522434,96,96,16,16,32,0,348,6,100
38,matMul_gpu_uncoalesced,3.0,1,GTX-680,1058,1536,0.5,256,3004,192256.0,2,8,192,3250176.0,1,0.763392,112,112,16,16,32,0,348,6,100
39,matMul_gpu_uncoalesced,3.0,1,GTX-680,1058,1536,0.5,256,3004,192256.0,2,8,192,3250176.0,1,1.183328,128,128,16,16,32,0,348,6,100
40,matMul_gpu_uncoalesced,3.0,1,GTX-680,1058,1536,0.5,256,3004,192256.0,2,8,192,3250176.0,1,1.636687,144,144,16,16,32,0,348,6,100
41,matMul_gpu_uncoalesced,3.0,1,GTX-680,1058,1536,0.5,256,3004,192256.0,2,8,192,3250176.0,1,2.527365,160,160,16,16,32,0,348,6,100
42,matMul_gpu_uncoalesced,3.0,1,GTX-680,1058,1536,0.5,256,3004,192256.0,2,8,192,3250176.0,1,2.966659,176,176,16,16,32,0,348,6,100
43,matMul_gpu_uncoalesced,3.0,1,GTX-680,1058,1536,0.5,256,3004,192256.0,2,8,192,3250176.0,1,4.462793,192,192,16,16,32,0,348,6,100
44,matMul_gpu_uncoalesced,3.0,1,GTX-680,1058,1536,0.5,256,3004,192256.0,2,8,192,3250176.0,1,4.884389,208,208,16,16,32,0,348,6,100
45,matMul_gpu_uncoalesced,3.0,1,GTX-680,1058,1536,0.5,256,3004,192256.0,2,8,192,3250176.0,1,7.230567,224,224,16,16,32,0,348,6,100
