,compute_version,gpu_id,max_clock_rate,num_of_cores,L2,bus,memory_clock,bandwith,GM,num_sm,num_cores_sm,theoretical_flops,AppId,duration,grid_x,grid_y,block_x,block_y,registers,smem,cmem,number_of_lines_kernel,occupancy
1273,3.5,3.0,706.0,2496.0,1.0,320.0,2600.0,208.0,4.0,13.0,192.0,3524352.0,1.0,31.039838,160.0,160.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1296,3.5,4.0,876.0,2688.0,1.5,384.0,3004.0,288384.0,6.0,14.0,192.0,4709376.0,1.0,4.066882,88.0,88.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1295,3.5,4.0,876.0,2688.0,1.5,384.0,3004.0,288384.0,6.0,14.0,192.0,4709376.0,1.0,3.055614,80.0,80.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1294,3.5,4.0,876.0,2688.0,1.5,384.0,3004.0,288384.0,6.0,14.0,192.0,4709376.0,1.0,2.230504,72.0,72.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1293,3.5,4.0,876.0,2688.0,1.5,384.0,3004.0,288384.0,6.0,14.0,192.0,4709376.0,1.0,1.565586,64.0,64.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1292,3.5,4.0,876.0,2688.0,1.5,384.0,3004.0,288384.0,6.0,14.0,192.0,4709376.0,1.0,1.05075,56.0,56.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1291,3.5,4.0,876.0,2688.0,1.5,384.0,3004.0,288384.0,6.0,14.0,192.0,4709376.0,1.0,0.662789,48.0,48.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1290,3.5,4.0,876.0,2688.0,1.5,384.0,3004.0,288384.0,6.0,14.0,192.0,4709376.0,1.0,0.385752,40.0,40.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1289,3.5,4.0,876.0,2688.0,1.5,384.0,3004.0,288384.0,6.0,14.0,192.0,4709376.0,1.0,0.19752,32.0,32.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1288,3.5,4.0,876.0,2688.0,1.5,384.0,3004.0,288384.0,6.0,14.0,192.0,4709376.0,1.0,0.084101,24.0,24.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
