,compute_version,registers,smem,cmem,gpu_id,max_clock_rate,num_of_cores,L2,bus,memory_clock,bandwith,GM,num_sm,num_cores_sm,theoretical_flops,AppId,number_of_lines_kernel,occupancy,input_size,duration,grid_x,grid_y,block_x,block_y
4158,5.2,32,0,348,7,1076,1664,1.75,256,3505,224.32,4,13,128,3580928.0,1,6,100,5376,5.32561,672,672,8,8
4159,5.2,32,0,348,7,1076,1664,1.75,256,3505,224.32,4,13,128,3580928.0,1,6,100,5632,6.396706,704,704,8,8
4184,5.2,32,0,348,8,1216,2048,2.0,256,3505,224.32,4,16,128,4980736.0,1,6,100,3840,1.531609,480,480,8,8
4185,5.2,32,0,348,8,1216,2048,2.0,256,3505,224.32,4,16,128,4980736.0,1,6,100,4096,1.689597,512,512,8,8
4186,5.2,32,0,348,8,1216,2048,2.0,256,3505,224.32,4,16,128,4980736.0,1,6,100,4352,2.472679,544,544,8,8
4187,5.2,32,0,348,8,1216,2048,2.0,256,3505,224.32,4,16,128,4980736.0,1,6,100,4608,3.193931,576,576,8,8
4188,5.2,32,0,348,8,1216,2048,2.0,256,3505,224.32,4,16,128,4980736.0,1,6,100,4864,4.028933,608,608,8,8
4189,5.2,32,0,348,8,1216,2048,2.0,256,3505,224.32,4,16,128,4980736.0,1,6,100,5120,4.669596,640,640,8,8
4190,5.2,32,0,348,8,1216,2048,2.0,256,3505,224.32,4,16,128,4980736.0,1,6,100,5376,5.980364,672,672,8,8
4191,5.2,32,0,348,8,1216,2048,2.0,256,3505,224.32,4,16,128,4980736.0,1,6,100,5632,7.263218,704,704,8,8
4192,5.2,32,0,348,8,1216,2048,2.0,256,3505,224.32,4,16,128,4980736.0,1,6,100,5888,8.785046,736,736,8,8
4193,5.2,32,0,348,8,1216,2048,2.0,256,3505,224.32,4,16,128,4980736.0,1,6,100,6144,9.883399,768,768,8,8
4194,5.2,32,0,348,8,1216,2048,2.0,256,3505,224.32,4,16,128,4980736.0,1,6,100,6400,12.300153,800,800,8,8
4195,5.2,32,0,348,8,1216,2048,2.0,256,3505,224.32,4,16,128,4980736.0,1,6,100,6656,14.539267,832,832,8,8
4196,5.2,32,0,348,8,1216,2048,2.0,256,3505,224.32,4,16,128,4980736.0,1,6,100,6912,17.032635,864,864,8,8
4197,5.2,32,0,348,8,1216,2048,2.0,256,3505,224.32,4,16,128,4980736.0,1,6,100,7168,19.699112,896,896,8,8
4198,5.2,32,0,348,8,1216,2048,2.0,256,3505,224.32,4,16,128,4980736.0,1,6,100,7424,22.561951,928,928,8,8
4199,5.2,32,0,348,8,1216,2048,2.0,256,3505,224.32,4,16,128,4980736.0,1,6,100,7680,26.143451,960,960,8,8
4200,5.2,32,0,348,8,1216,2048,2.0,256,3505,224.32,4,16,128,4980736.0,1,6,100,7936,29.755414,992,992,8,8
4201,5.2,32,0,348,8,1216,2048,2.0,256,3505,224.32,4,16,128,4980736.0,1,6,100,8192,33.520009,1024,1024,8,8
4202,5.2,32,0,348,6,1076,3072,3.0,384,3505,336.48,12,24,128,6610944.0,1,6,100,256,0.000799212,16,16,16,16
4183,5.2,32,0,348,8,1216,2048,2.0,256,3505,224.32,4,16,128,4980736.0,1,6,100,3584,1.201687,448,448,8,8
4182,5.2,32,0,348,8,1216,2048,2.0,256,3505,224.32,4,16,128,4980736.0,1,6,100,3328,0.925978,416,416,8,8
4181,5.2,32,0,348,8,1216,2048,2.0,256,3505,224.32,4,16,128,4980736.0,1,6,100,3072,0.63545,384,384,8,8
4180,5.2,32,0,348,8,1216,2048,2.0,256,3505,224.32,4,16,128,4980736.0,1,6,100,2816,0.513046,352,352,8,8
4160,5.2,32,0,348,7,1076,1664,1.75,256,3505,224.32,4,13,128,3580928.0,1,6,100,5888,7.658363,736,736,8,8
4161,5.2,32,0,348,7,1076,1664,1.75,256,3505,224.32,4,13,128,3580928.0,1,6,100,6144,8.552415,768,768,8,8
4162,5.2,32,0,348,7,1076,1664,1.75,256,3505,224.32,4,13,128,3580928.0,1,6,100,6400,10.774111,800,800,8,8
4163,5.2,32,0,348,7,1076,1664,1.75,256,3505,224.32,4,13,128,3580928.0,1,6,100,6656,12.701083,832,832,8,8
4164,5.2,32,0,348,7,1076,1664,1.75,256,3505,224.32,4,13,128,3580928.0,1,6,100,6912,14.83327,864,864,8,8
4165,5.2,32,0,348,7,1076,1664,1.75,256,3505,224.32,4,13,128,3580928.0,1,6,100,7168,17.121932,896,896,8,8
4166,5.2,32,0,348,7,1076,1664,1.75,256,3505,224.32,4,13,128,3580928.0,1,6,100,7424,19.734835,928,928,8,8
4167,5.2,32,0,348,7,1076,1664,1.75,256,3505,224.32,4,13,128,3580928.0,1,6,100,7680,22.675952,960,960,8,8
4168,5.2,32,0,348,7,1076,1664,1.75,256,3505,224.32,4,13,128,3580928.0,1,6,100,7936,26.079893,992,992,8,8
4113,5.2,32,0,348,6,1076,3072,3.0,384,3505,336.48,12,24,128,6610944.0,1,6,100,2048,0.124633,256,256,8,8
4169,5.2,32,0,348,7,1076,1664,1.75,256,3505,224.32,4,13,128,3580928.0,1,6,100,8192,30.042278,1024,1024,8,8
4171,5.2,32,0,348,8,1216,2048,2.0,256,3505,224.32,4,16,128,4980736.0,1,6,100,512,0.002545728,64,64,8,8
4172,5.2,32,0,348,8,1216,2048,2.0,256,3505,224.32,4,16,128,4980736.0,1,6,100,768,0.008746506,96,96,8,8
4173,5.2,32,0,348,8,1216,2048,2.0,256,3505,224.32,4,16,128,4980736.0,1,6,100,1024,0.019892,128,128,8,8
4174,5.2,32,0,348,8,1216,2048,2.0,256,3505,224.32,4,16,128,4980736.0,1,6,100,1280,0.042277,160,160,8,8
4175,5.2,32,0,348,8,1216,2048,2.0,256,3505,224.32,4,16,128,4980736.0,1,6,100,1536,0.070084,192,192,8,8
4176,5.2,32,0,348,8,1216,2048,2.0,256,3505,224.32,4,16,128,4980736.0,1,6,100,1792,0.104163,224,224,8,8
4177,5.2,32,0,348,8,1216,2048,2.0,256,3505,224.32,4,16,128,4980736.0,1,6,100,2048,0.147118,256,256,8,8
4178,5.2,32,0,348,8,1216,2048,2.0,256,3505,224.32,4,16,128,4980736.0,1,6,100,2304,0.243375,288,288,8,8
4179,5.2,32,0,348,8,1216,2048,2.0,256,3505,224.32,4,16,128,4980736.0,1,6,100,2560,0.336296,320,320,8,8
4170,5.2,32,0,348,8,1216,2048,2.0,256,3505,224.32,4,16,128,4980736.0,1,6,100,256,0.000421456,32,32,8,8
4112,5.2,32,0,348,6,1076,3072,3.0,384,3505,336.48,12,24,128,6610944.0,1,6,100,1792,0.087272,224,224,8,8
4111,5.2,32,0,348,6,1076,3072,3.0,384,3505,336.48,12,24,128,6610944.0,1,6,100,1536,0.054198,192,192,8,8
4110,5.2,32,0,348,6,1076,3072,3.0,384,3505,336.48,12,24,128,6610944.0,1,6,100,1280,0.031759,160,160,8,8
4044,3.5,32,0,348,4,876,2688,1.5,384,3004,288384.0,6,14,192,4709376.0,1,6,100,768,0.084101,24,24,32,32
4045,3.5,32,0,348,4,876,2688,1.5,384,3004,288384.0,6,14,192,4709376.0,1,6,100,1024,0.19752,32,32,32,32
4046,3.5,32,0,348,4,876,2688,1.5,384,3004,288384.0,6,14,192,4709376.0,1,6,100,1280,0.385752,40,40,32,32
4047,3.5,32,0,348,4,876,2688,1.5,384,3004,288384.0,6,14,192,4709376.0,1,6,100,1536,0.662789,48,48,32,32
4048,3.5,32,0,348,4,876,2688,1.5,384,3004,288384.0,6,14,192,4709376.0,1,6,100,1792,1.05075,56,56,32,32
4049,3.5,32,0,348,4,876,2688,1.5,384,3004,288384.0,6,14,192,4709376.0,1,6,100,2048,1.565586,64,64,32,32
4050,3.5,32,0,348,4,876,2688,1.5,384,3004,288384.0,6,14,192,4709376.0,1,6,100,2304,2.230504,72,72,32,32
4051,3.5,32,0,348,4,876,2688,1.5,384,3004,288384.0,6,14,192,4709376.0,1,6,100,2560,3.055614,80,80,32,32
4052,3.5,32,0,348,4,876,2688,1.5,384,3004,288384.0,6,14,192,4709376.0,1,6,100,2816,4.066882,88,88,32,32
4053,3.5,32,0,348,4,876,2688,1.5,384,3004,288384.0,6,14,192,4709376.0,1,6,100,3072,5.280922,96,96,32,32
4054,3.5,32,0,348,4,876,2688,1.5,384,3004,288384.0,6,14,192,4709376.0,1,6,100,3328,6.70932,104,104,32,32
4055,3.5,32,0,348,4,876,2688,1.5,384,3004,288384.0,6,14,192,4709376.0,1,6,100,3584,8.381259,112,112,32,32
4056,3.5,32,0,348,4,876,2688,1.5,384,3004,288384.0,6,14,192,4709376.0,1,6,100,3840,10.307393,120,120,32,32
4057,3.5,32,0,348,4,876,2688,1.5,384,3004,288384.0,6,14,192,4709376.0,1,6,100,4096,12.507211,128,128,32,32
4058,3.5,32,0,348,4,876,2688,1.5,384,3004,288384.0,6,14,192,4709376.0,1,6,100,4352,15.001194,136,136,32,32
4059,3.5,32,0,348,4,876,2688,1.5,384,3004,288384.0,6,14,192,4709376.0,1,6,100,4608,17.805582,144,144,32,32
4060,3.5,32,0,348,4,876,2688,1.5,384,3004,288384.0,6,14,192,4709376.0,1,6,100,4864,20.942001,152,152,32,32
