compute_version,registers,smem,cmem,num_of_cores,L2,bandwith,theoretical_flops,occupancy,input_size,duration,block_x
3.0,32,0,348,1536,0.5,192.256,3250.176,100,4864,28.362351,32
3.0,32,0,348,1536,0.5,192.256,3250.176,100,5120,32.71017,32
3.0,32,0,348,1536,0.5,192.256,3250.176,100,5376,37.834873,32
3.0,32,0,348,1536,0.5,192.256,3250.176,100,5632,43.495914,32
3.0,32,0,348,1536,0.5,192.256,3250.176,100,5888,49.939214,32
3.0,32,0,348,1536,0.5,192.256,3250.176,100,6144,56.488475,32
3.0,32,0,348,1536,0.5,192.256,3250.176,100,6400,63.850074,32
3.0,32,0,348,1536,0.5,192.256,3250.176,100,6656,71.804558,32
3.0,32,0,348,1536,0.5,192.256,3250.176,100,6912,80.434555,32
3.0,32,0,348,1536,0.5,192.256,3250.176,100,7168,89.75153,32
3.0,32,0,348,1536,0.5,192.256,3250.176,100,7424,99.615947,32
3.0,32,0,348,1536,0.5,192.256,3250.176,100,7680,110.889694,32
3.0,32,0,348,1536,0.5,192.256,3250.176,100,7936,121.678256,32
3.0,32,0,348,1536,0.5,192.256,3250.176,100,8192,133.831447,32
3.0,32,0,348,1536,0.5,192.256,3250.176,50,256,0.000736329,8
3.0,32,0,348,1536,0.5,192.256,3250.176,50,512,0.00574359,8
3.0,32,0,348,1536,0.5,192.256,3250.176,50,768,0.01943,8
3.0,32,0,348,1536,0.5,192.256,3250.176,50,1024,0.045582,8
3.0,32,0,348,1536,0.5,192.256,3250.176,50,1280,0.088998,8
3.0,32,0,348,1536,0.5,192.256,3250.176,50,1536,0.154008,8
3.0,32,0,348,1536,0.5,192.256,3250.176,50,1792,0.237666,8
3.0,32,0,348,1536,0.5,192.256,3250.176,50,2048,0.338078,8
3.0,32,0,348,1536,0.5,192.256,3250.176,50,2304,0.479234,8
3.0,32,0,348,1536,0.5,192.256,3250.176,50,2560,0.657752,8
3.0,32,0,348,1536,0.5,192.256,3250.176,50,2816,0.875265,8
3.0,32,0,348,1536,0.5,192.256,3250.176,50,3072,1.137174,8
3.0,32,0,348,1536,0.5,192.256,3250.176,50,3328,1.445661,8
3.0,32,0,348,1536,0.5,192.256,3250.176,50,3584,1.806406,8
3.0,32,0,348,1536,0.5,192.256,3250.176,50,3840,2.22193,8
3.0,32,0,348,1536,0.5,192.256,3250.176,50,4096,2.699049,8
3.0,32,0,348,1536,0.5,192.256,3250.176,50,4352,3.236945,8
3.0,32,0,348,1536,0.5,192.256,3250.176,50,4608,3.845777,8
3.0,32,0,348,1536,0.5,192.256,3250.176,50,4864,4.523355,8
3.0,32,0,348,1536,0.5,192.256,3250.176,50,5120,5.278743,8
3.0,32,0,348,1536,0.5,192.256,3250.176,50,5376,6.11087,8
3.0,32,0,348,1536,0.5,192.256,3250.176,50,5632,7.029952,8
3.0,32,0,348,1536,0.5,192.256,3250.176,50,5888,8.033549,8
3.0,32,0,348,1536,0.5,192.256,3250.176,50,6144,9.137592,8
3.0,32,0,348,1536,0.5,192.256,3250.176,50,6400,10.44025,8
3.0,32,0,348,1536,0.5,192.256,3250.176,50,6656,11.754295,8
3.0,32,0,348,1536,0.5,192.256,3250.176,50,6912,13.161028,8
3.0,32,0,348,1536,0.5,192.256,3250.176,50,7168,14.688749,8
3.0,32,0,348,1536,0.5,192.256,3250.176,50,7424,16.319088,8
3.0,32,0,348,1536,0.5,192.256,3250.176,50,7680,18.087737,8
3.0,32,0,348,1536,0.5,192.256,3250.176,50,7936,19.945938,8
