AppName_x,compute_version,gpu_id,gpu_name,input_size,max_clock_rate,num_of_cores,L2,bus,memory_clock,bandwith,GM,num_sm,num_cores_sm,theoretical_flops,AppId,duration,grid_x,grid_y,block_x,block_y,AppName_y,registers,smem,cmem,number_of_lines_kernel,occupancy
matMul_gpu_uncoalesced,3.0,1,GTX-680,7936,1058,1536,0.5,256,3004,192.256,2,8,192,3250.176,1,36.28895,992,992,8,8,matMul_gpu_uncoalesced,32,0,348,6,50
matMul_gpu_uncoalesced,3.0,1,GTX-680,8192,1058,1536,0.5,256,3004,192.256,2,8,192,3250.176,1,39.87220,1024,1024,8,8,matMul_gpu_uncoalesced,32,0,348,6,50
matMul_gpu_uncoalesced,3.0,1,GTX-680,256,1058,1536,0.5,256,3004,192.256,2,8,192,3250.176,1,0.00223,16,16,16,16,matMul_gpu_uncoalesced,32,0,348,6,100
matMul_gpu_uncoalesced,3.0,1,GTX-680,512,1058,1536,0.5,256,3004,192.256,2,8,192,3250.176,1,0.01774,32,32,16,16,matMul_gpu_uncoalesced,32,0,348,6,100
matMul_gpu_uncoalesced,3.0,1,GTX-680,768,1058,1536,0.5,256,3004,192.256,2,8,192,3250.176,1,0.05965,48,48,16,16,matMul_gpu_uncoalesced,32,0,348,6,100
matMul_gpu_uncoalesced,3.0,1,GTX-680,1024,1058,1536,0.5,256,3004,192.256,2,8,192,3250.176,1,0.14255,64,64,16,16,matMul_gpu_uncoalesced,32,0,348,6,100
matMul_gpu_uncoalesced,3.0,1,GTX-680,1280,1058,1536,0.5,256,3004,192.256,2,8,192,3250.176,1,0.27766,80,80,16,16,matMul_gpu_uncoalesced,32,0,348,6,100
matMul_gpu_uncoalesced,3.0,1,GTX-680,1536,1058,1536,0.5,256,3004,192.256,2,8,192,3250.176,1,0.52243,96,96,16,16,matMul_gpu_uncoalesced,32,0,348,6,100
matMul_gpu_uncoalesced,3.0,1,GTX-680,1792,1058,1536,0.5,256,3004,192.256,2,8,192,3250.176,1,0.76339,112,112,16,16,matMul_gpu_uncoalesced,32,0,348,6,100
matMul_gpu_uncoalesced,3.0,1,GTX-680,2048,1058,1536,0.5,256,3004,192.256,2,8,192,3250.176,1,1.18333,128,128,16,16,matMul_gpu_uncoalesced,32,0,348,6,100
