0,matMul_gpu_sharedmem,8,3.0,32,512,348,15,100
1,matMul_gpu_sharedmem,16,3.0,25,2048,348,15,100
2,matMul_gpu_sharedmem,32,3.0,25,8192,348,15,38
3,matMul_gpu_sharedmem,8,3.5,32,512,348,15,100
4,matMul_gpu_sharedmem,16,3.5,25,2048,348,15,100
5,matMul_gpu_sharedmem,32,3.5,25,8192,348,15,38
6,matMul_gpu_sharedmem,8,5.2,31,512,348,15,100
7,matMul_gpu_sharedmem,16,5.2,27,2048,348,15,100
8,matMul_gpu_sharedmem,32,5.2,27,8192,348,15,75
0,subSeqMax,128,3.0,28,16392,344,41,13
1,subSeqMax,128,3.5,28,16392,344,41,13
2,subSeqMax,128,5.2,32,16392,344,41,31
0,matMul_gpu_sharedmem_uncoalesced,8,3.0,32,512,348,15,100
1,matMul_gpu_sharedmem_uncoalesced,16,3.0,25,2048,348,15,100
2,matMul_gpu_sharedmem_uncoalesced,32,3.0,25,8192,348,15,38
3,matMul_gpu_sharedmem_uncoalesced,8,3.5,32,512,348,15,100
4,matMul_gpu_sharedmem_uncoalesced,16,3.5,25,2048,348,15,100
5,matMul_gpu_sharedmem_uncoalesced,32,3.5,25,8192,348,15,38
6,matMul_gpu_sharedmem_uncoalesced,8,5.2,31,512,348,15,100
7,matMul_gpu_sharedmem_uncoalesced,16,5.2,27,2048,348,15,100
8,matMul_gpu_sharedmem_uncoalesced,32,5.2,27,8192,348,15,100
0,vectorAdd,8,3.0,8,0,348,40,100
1,vectorAdd,16,3.0,8,0,348,40,100
2,vectorAdd,32,3.0,8,0,348,40,100
3,vectorAdd,8,3.5,8,0,348,40,100
4,vectorAdd,16,3.5,8,0,348,40,100
5,vectorAdd,32,3.5,8,0,348,40,100
6,vectorAdd,8,5.2,8,0,348,40,100
7,vectorAdd,16,5.2,8,0,348,40,100
8,vectorAdd,32,5.2,8,0,348,40,100
0,matMul_gpu_uncoalesced,8,3.0,32,0,348,6,
1,matMul_gpu_uncoalesced,16,3.0,32,0,348,6,
2,matMul_gpu_uncoalesced,32,3.0,32,0,348,6,
3,matMul_gpu_uncoalesced,8,3.5,32,0,348,6,
4,matMul_gpu_uncoalesced,16,3.5,32,0,348,6,
5,matMul_gpu_uncoalesced,32,3.5,32,0,348,6,
6,matMul_gpu_uncoalesced,8,5.2,32,0,348,6,100
7,matMul_gpu_uncoalesced,16,5.2,32,0,348,6,100
8,matMul_gpu_uncoalesced,32,5.2,32,0,348,6,100
0,matrix_sum_normal,8,3.0,8,0,348,5,100
1,matrix_sum_normal,16,3.0,8,0,348,5,100
2,matrix_sum_normal,32,3.0,8,0,348,5,100
3,matrix_sum_normal,8,3.5,8,0,348,5,100
4,matrix_sum_normal,16,3.5,8,0,348,5,100
5,matrix_sum_normal,32,3.5,8,0,348,5,100
6,matrix_sum_normal,8,5.2,8,0,348,5,100
7,matrix_sum_normal,16,5.2,8,0,348,5,100
8,matrix_sum_normal,32,5.2,8,0,348,5,100
0,matMul_gpu,8,3.0,32,0,348,6,100
1,matMul_gpu,16,3.0,32,0,348,6,100
2,matMul_gpu,32,3.0,32,0,348,6,100
3,matMul_gpu,8,3.5,32,0,348,6,100
4,matMul_gpu,16,3.5,32,0,348,6,100
5,matMul_gpu,32,3.5,32,0,348,6,100
6,matMul_gpu,8,5.2,32,0,348,6,100
7,matMul_gpu,16,5.2,32,0,348,6,100
8,matMul_gpu,32,5.2,32,0,348,6,100
0,matrix_sum_coalesced,8,3.0,8,0,348,5,100
1,matrix_sum_coalesced,16,3.0,8,0,348,5,100
2,matrix_sum_coalesced,32,3.0,8,0,348,5,100
3,matrix_sum_coalesced,8,3.5,8,0,348,5,100
4,matrix_sum_coalesced,16,3.5,8,0,348,5,100
5,matrix_sum_coalesced,32,3.5,8,0,348,5,100
6,matrix_sum_coalesced,8,5.2,8,0,348,5,100
7,matrix_sum_coalesced,16,5.2,8,0,348,5,100
8,matrix_sum_coalesced,32,5.2,8,0,348,5,100
0,dotProd,8,3.0,13,256,348,17,100
1,dotProd,16,3.0,13,1024,348,17,100
2,dotProd,32,3.0,13,4096,348,17,75
3,dotProd,8,3.5,13,256,348,17,100
4,dotProd,16,3.5,13,1024,348,17,100
5,dotProd,32,3.5,13,4096,348,17,75
6,dotProd,8,5.2,13,256,348,17,100
7,dotProd,16,5.2,13,1024,348,17,100
8,dotProd,32,5.2,13,4096,348,17,100
